airfoil_id,polar_id,Re,max_thickness,x_at_max_thickness,max_camber,x_at_max_camber,max_cl,alpha_at_max_cl,sharpness_rating,radius_rating
ag36-il,xf-ag36-il-100000,100000.0,0.019523,0.895,0.081778,0.266,1.1759,9.0,97.05930199280002,2.9406980071999875
ag36-il,xf-ag36-il-1000000,1000000.0,0.019523,0.895,0.081778,0.266,1.4014,11.25,97.05930199280002,2.9406980071999875
ag36-il,xf-ag36-il-200000,200000.0,0.019523,0.895,0.081778,0.266,1.2218,9.5,97.05930199280002,2.9406980071999875
ag36-il,xf-ag36-il-50000,50000.0,0.019523,0.895,0.081778,0.266,1.1319,8.25,97.05930199280002,2.9406980071999875
ag36-il,xf-ag36-il-500000,500000.0,0.019523,0.895,0.081778,0.266,1.299,10.25,97.05930199280002,2.9406980071999875
ag37-il,xf-ag37-il-100000,100000.0,0.033212,0.022,0.077488,0.265,1.175,8.75,94.99736402114807,5.0026359788519175
ag37-il,xf-ag37-il-1000000,1000000.0,0.033212,0.022,0.077488,0.265,1.5161,12.25,94.99736402114807,5.0026359788519175
ag37-il,xf-ag37-il-200000,200000.0,0.033212,0.022,0.077488,0.265,1.2355,9.75,94.99736402114807,5.0026359788519175
ag37-il,xf-ag37-il-50000,50000.0,0.033212,0.022,0.077488,0.265,1.1106,8.0,94.99736402114807,5.0026359788519175
ag37-il,xf-ag37-il-500000,500000.0,0.033212,0.022,0.077488,0.265,1.3575,10.75,94.99736402114807,5.0026359788519175
ag38-il,xf-ag38-il-100000,100000.0,0.068615,0.367,0.070467,0.277,1.1258,8.75,89.664703490036,10.335296509963998
ag38-il,xf-ag38-il-1000000,1000000.0,0.068615,0.367,0.070467,0.277,1.5024,13.25,89.664703490036,10.335296509963998
ag38-il,xf-ag38-il-200000,200000.0,0.068615,0.367,0.070467,0.277,1.198,9.25,89.664703490036,10.335296509963998
ag38-il,xf-ag38-il-50000,50000.0,0.068615,0.367,0.070467,0.277,1.0593,7.75,89.664703490036,10.335296509963998
ag38-il,xf-ag38-il-500000,500000.0,0.068615,0.367,0.070467,0.277,1.341,11.0,89.664703490036,10.335296509963998
ag44ct02r-il,xf-ag44ct02r-il-100000,100000.0,0.072602,0.274,0.055332,0.261,1.1434,10.25,89.06415219388755,10.935847806112458
ag44ct02r-il,xf-ag44ct02r-il-1000000,1000000.0,0.072602,0.274,0.055332,0.261,1.4174,12.75,89.06415219388755,10.935847806112458
ag44ct02r-il,xf-ag44ct02r-il-200000,200000.0,0.072602,0.274,0.055332,0.261,1.1865,10.75,89.06415219388755,10.935847806112458
ag44ct02r-il,xf-ag44ct02r-il-50000,50000.0,0.072602,0.274,0.055332,0.261,1.0684,9.25,89.06415219388755,10.935847806112458
ag44ct02r-il,xf-ag44ct02r-il-500000,500000.0,0.072602,0.274,0.055332,0.261,1.2926,11.5,89.06415219388755,10.935847806112458
ag455ct02r-il,xf-ag455ct02r-il-100000,100000.0,0.0563339999999999,0.415,0.050206,0.264,1.0984,9.75,91.51455813463075,8.485441865369246
ag455ct02r-il,xf-ag455ct02r-il-1000000,1000000.0,0.0563339999999999,0.415,0.050206,0.264,1.4243,12.75,91.51455813463075,8.485441865369246
ag455ct02r-il,xf-ag455ct02r-il-200000,200000.0,0.0563339999999999,0.415,0.050206,0.264,1.1522,10.25,91.51455813463075,8.485441865369246
ag455ct02r-il,xf-ag455ct02r-il-50000,50000.0,0.0563339999999999,0.415,0.050206,0.264,1.0079,8.5,91.51455813463075,8.485441865369246
ag455ct02r-il,xf-ag455ct02r-il-500000,500000.0,0.0563339999999999,0.415,0.050206,0.264,1.267,11.0,91.51455813463075,8.485441865369246
ag45c03-il,xf-ag45c03-il-100000,100000.0,0.067,0.317,0.058939,0.29,1.1479,11.0,89.90796668122731,10.092033318772687
ag45c03-il,xf-ag45c03-il-1000000,1000000.0,0.067,0.317,0.058939,0.29,1.4504,13.75,89.90796668122731,10.092033318772687
ag45c03-il,xf-ag45c03-il-200000,200000.0,0.067,0.317,0.058939,0.29,1.1974,11.5,89.90796668122731,10.092033318772687
ag45c03-il,xf-ag45c03-il-50000,50000.0,0.067,0.317,0.058939,0.29,1.058,9.75,89.90796668122731,10.092033318772687
ag45c03-il,xf-ag45c03-il-500000,500000.0,0.067,0.317,0.058939,0.29,1.2977,12.0,89.90796668122731,10.092033318772687
